name,cost,position,points,ppd,roi
Calvin de Haan,1000000,D,10,100000,0.000010000
Travis Sanheim,2120000,D,44,48182,0.000020755
Kirill Kaprizov,4550000,F,96,47396,0.000021099
Matthew Tkachuk,4820000,F,88,54773,0.000018257
Nick Jensen,1000000,D,14,71429,0.000014000
Barclay Goodrow,1000000,F,12,83333,0.000012000
Dmitry Orlov,1600000,D,26,61538,0.000016250
Pontus Holmberg,1090000,F,17,64118,0.000015596
Ivan Provorov,1860000,D,32,58125,0.000017204
David Pastrnak,5010000,F,110,45545,0.000021956
Cam Fowler,2370000,D,39,60769,0.000016456
Brandon Duhaime,1000000,F,13,76923,0.000013000
Michael Amadio,1310000,F,27,48519,0.000020611
Tanner Jeannot,1000000,F,14,71429,0.000014000
Alexis Lafreniere,2870000,C,57,50351,0.000019861
Viktor Arvidsson,1570000,F,15,104667,0.000009554
Dylan Larkin,3300000,C,69,47826,0.000020909
Alex Tuch,2940000,F,59,49831,0.000020068
Scott Laughton,1900000,C,39,48718,0.000020526
